flow,src,src_port,dst,dst_port,protocol,timestamp,duration,total_fpackets,total_bpackets,total_fpktl,total_bpktl,min_fpktl,max_fpktl,mean_fpktl,std_fpktl,min_bpktl,max_bpktl,mean_bpktl,std_bpktl,flowBytesPerSecond,flowPktsPerSecond,mean_flowiat,std_flowiat,max_flowiat,min_flowiat,total_fiat,mean_fiat,std_fiat,max_fiat,min_fiat,total_biat,mean_biat,std_biat,max_biat,min_biat,fpsh_cnt,bpsh_cnt,furg_cnt,burg_cnt,total_fhlen,total_bhlen,fPktsPerSecond,bPktsPerSecond,min_flowpktl,max_flowpktl,mean_flowpktl,std_flowpktl,var_flowpktl,flow_fin,flow_syn,flow_rst,flow_psh,flow_ack,flow_urg,flow_cwr,flow_ece,downUpRatio,avgPacketSize,fAvgSegmentSize,bAvgSegmentSize,fAvgBytesPerBulk,fAvgPacketsPerBulk,fAvgBulkRate,bAvgBytesPerBulk,bAvgPacketsPerBulk,bAvgBulkRate,fSubFlowAvgPkts,fSubFlowAvgBytes,bSubFlowAvgPkts,bSubFlowAvgBytes,fInitWinSize,bInitWinSize,fDataPkts,fHeaderSizeMin,mean_active_s,std_active_s,max_active_s,min_active_s,mean_idle_s,std_idle_s,max_idle_s,min_idle_s,label
192.168.18.9:50786<->13.127.245.85:50786,192.168.18.9,50786,13.127.245.85,443,TCP,0,1,1,0,66,0,66,66,66.0,0.0,0,0,0.0,0.0,66.0,1,0.0,0.0,0,0,0,0.0,0.0,1640705045.4927938,1640705045.4927938,0,0.0,0.0,1640705045.4927938,0,0,0,0,0,0,0,1,1,66,66,66.0,0.0,0.0,1,0,0,0,1,0,0,0,1,66.0,0.0,0.0,0,0,0,0,0,0,1.0,66.0,0.0,0.0,501,0,1,52,0.0,0.0,0.0,0.0,0,0,0,0,None
13.127.245.85:443<->192.168.18.9:443,13.127.245.85,443,192.168.18.9,50786,TCP,0,1,1,0,54,0,54,54,54.0,0.0,0,0,0.0,0.0,54.0,1,0.0,0.0,0,0,0,0.0,0.0,1640705045.5612893,1640705045.5612893,0,0.0,0.0,1640705045.5612893,0,0,0,0,0,0,0,1,1,54,54,54.0,0.0,0.0,0,0,1,0,0,0,0,0,1,54.0,0.0,0.0,0,0,0,0,0,0,1.0,54.0,0.0,0.0,0,0,1,40,0.0,0.0,0.0,0.0,0,0,0,0,None
13.127.245.85:443<->192.168.18.9:443,13.127.245.85,443,192.168.18.9,50786,TCP,0,1,1,0,54,0,54,54,54.0,0.0,0,0,0.0,0.0,54.0,1,0.0,0.0,0,0,0,0.0,0.0,1640705045.560492,1640705045.560492,0,0.0,0.0,1640705045.560492,0,0,0,0,0,0,0,1,1,54,54,54.0,0.0,0.0,0,0,1,0,0,0,0,0,1,54.0,0.0,0.0,0,0,0,0,0,0,1.0,54.0,0.0,0.0,0,0,1,40,0.0,0.0,0.0,0.0,0,0,0,0,None
35.224.170.84:80<->192.168.18.9:80,35.224.170.84,80,192.168.18.9,45580,TCP,0,1,1,0,66,0,66,66,66.0,0.0,0,0,0.0,0.0,66.0,1,0.0,0.0,0,0,0,0.0,0.0,1640705188.5680964,1640705188.5680964,0,0.0,0.0,1640705188.5680964,0,0,0,0,0,0,0,1,1,66,66,66.0,0.0,0.0,1,0,0,0,1,0,0,0,1,66.0,0.0,0.0,0,0,0,0,0,0,1.0,66.0,0.0,0.0,508,0,1,52,0.0,0.0,0.0,0.0,0,0,0,0,None
192.168.18.9:45580<->35.224.170.84:45580,192.168.18.9,45580,35.224.170.84,80,TCP,0,1,1,0,66,0,66,66,66.0,0.0,0,0,0.0,0.0,66.0,1,0.0,0.0,0,0,0,0.0,0.0,1640705188.5670788,1640705188.5670788,0,0.0,0.0,1640705188.5670788,0,0,0,0,0,0,0,1,1,66,66,66.0,0.0,0.0,1,0,0,0,1,0,0,0,1,66.0,0.0,0.0,0,0,0,0,0,0,1.0,66.0,0.0,0.0,501,0,1,52,0.0,0.0,0.0,0.0,0,0,0,0,None
40.77.226.250:443<->192.168.18.9:443,40.77.226.250,443,192.168.18.9,52164,TCP,0,1,1,0,368,0,368,368,368.0,0.0,0,0,0.0,0.0,368.0,1,0.0,0.0,0,0,0,0.0,0.0,1640704480.40333,1640704480.40333,0,0.0,0.0,1640704480.40333,0,1,0,0,0,0,0,1,1,368,368,368.0,0.0,0.0,1,0,0,1,1,0,0,0,1,368.0,314.0,0.0,0,0,0,0,0,0,1.0,368.0,0.0,0.0,1025,0,1,354,0.0,0.0,0.0,0.0,0,0,0,0,None
192.168.18.9:52164<->40.77.226.250:52164,192.168.18.9,52164,40.77.226.250,443,TCP,0,1,1,0,54,0,54,54,54.0,0.0,0,0,0.0,0.0,54.0,1,0.0,0.0,0,0,0,0.0,0.0,1640704480.4040208,1640704480.4040208,0,0.0,0.0,1640704480.4040208,0,0,0,0,0,0,0,1,1,54,54,54.0,0.0,0.0,1,0,0,0,1,0,0,0,1,54.0,0.0,0.0,0,0,0,0,0,0,1.0,54.0,0.0,0.0,501,0,1,40,0.0,0.0,0.0,0.0,0,0,0,0,None
52.71.181.64:443<->192.168.18.9:443,52.71.181.64,443,192.168.18.9,59236,TCP,0,1,1,0,66,0,66,66,66.0,0.0,0,0,0.0,0.0,66.0,1,0.0,0.0,0,0,0,0.0,0.0,1640704482.78294,1640704482.78294,0,0.0,0.0,1640704482.78294,0,0,0,0,0,0,0,1,1,66,66,66.0,0.0,0.0,1,0,0,0,1,0,0,0,1,66.0,0.0,0.0,0,0,0,0,0,0,1.0,66.0,0.0,0.0,209,0,1,52,0.0,0.0,0.0,0.0,0,0,0,0,None
192.168.18.9:59236<->52.71.181.64:59236,192.168.18.9,59236,52.71.181.64,443,TCP,0,1,1,0,66,0,66,66,66.0,0.0,0,0,0.0,0.0,66.0,1,0.0,0.0,0,0,0,0.0,0.0,1640704482.7829792,1640704482.7829792,0,0.0,0.0,1640704482.7829792,0,0,0,0,0,0,0,1,1,66,66,66.0,0.0,0.0,1,0,0,0,1,0,0,0,1,66.0,0.0,0.0,0,0,0,0,0,0,1.0,66.0,0.0,0.0,501,0,1,52,0.0,0.0,0.0,0.0,0,0,0,0,None
13.127.245.85:443<->192.168.18.9:443,13.127.245.85,443,192.168.18.9,50786,TCP,0,1,1,0,66,0,66,66,66.0,0.0,0,0,0.0,0.0,66.0,1,0.0,0.0,0,0,0,0.0,0.0,1640705045.4925387,1640705045.4925387,0,0.0,0.0,1640705045.4925387,0,0,0,0,0,0,0,1,1,66,66,66.0,0.0,0.0,1,0,0,0,1,0,0,0,1,66.0,0.0,0.0,0,0,0,0,0,0,1.0,66.0,0.0,0.0,482,0,1,52,0.0,0.0,0.0,0.0,0,0,0,0,None
192.168.18.9:50786<->13.127.245.85:50786,192.168.18.9,50786,13.127.245.85,443,TCP,0,1,1,0,66,0,66,66,66.0,0.0,0,0,0.0,0.0,66.0,1,0.0,0.0,0,0,0,0.0,0.0,1640705045.4927938,1640705045.4927938,0,0.0,0.0,1640705045.4927938,0,0,0,0,0,0,0,1,1,66,66,66.0,0.0,0.0,1,0,0,0,1,0,0,0,1,66.0,0.0,0.0,0,0,0,0,0,0,1.0,66.0,0.0,0.0,501,0,1,52,0.0,0.0,0.0,0.0,0,0,0,0,None
13.127.245.85:443<->192.168.18.9:443,13.127.245.85,443,192.168.18.9,50786,TCP,0,1,1,0,54,0,54,54,54.0,0.0,0,0,0.0,0.0,54.0,1,0.0,0.0,0,0,0,0.0,0.0,1640705045.5612893,1640705045.5612893,0,0.0,0.0,1640705045.5612893,0,0,0,0,0,0,0,1,1,54,54,54.0,0.0,0.0,0,0,1,0,0,0,0,0,1,54.0,0.0,0.0,0,0,0,0,0,0,1.0,54.0,0.0,0.0,0,0,1,40,0.0,0.0,0.0,0.0,0,0,0,0,None
13.127.245.85:443<->192.168.18.9:443,13.127.245.85,443,192.168.18.9,50786,TCP,0,1,1,0,54,0,54,54,54.0,0.0,0,0,0.0,0.0,54.0,1,0.0,0.0,0,0,0,0.0,0.0,1640705045.560492,1640705045.560492,0,0.0,0.0,1640705045.560492,0,0,0,0,0,0,0,1,1,54,54,54.0,0.0,0.0,0,0,1,0,0,0,0,0,1,54.0,0.0,0.0,0,0,0,0,0,0,1.0,54.0,0.0,0.0,0,0,1,40,0.0,0.0,0.0,0.0,0,0,0,0,None
192.168.18.9:52164<->40.77.226.250:52164,192.168.18.9,52164,40.77.226.250,443,TCP,0,1,1,0,54,0,54,54,54.0,0.0,0,0,0.0,0.0,54.0,1,0.0,0.0,0,0,0,0.0,0.0,1640704480.4040208,1640704480.4040208,0,0.0,0.0,1640704480.4040208,0,0,0,0,0,0,0,1,1,54,54,54.0,0.0,0.0,1,0,0,0,1,0,0,0,1,54.0,0.0,0.0,0,0,0,0,0,0,1.0,54.0,0.0,0.0,501,0,1,40,0.0,0.0,0.0,0.0,0,0,0,0,None
40.77.226.250:443<->192.168.18.9:443,40.77.226.250,443,192.168.18.9,52164,TCP,0,1,1,0,368,0,368,368,368.0,0.0,0,0,0.0,0.0,368.0,1,0.0,0.0,0,0,0,0.0,0.0,1640704480.40333,1640704480.40333,0,0.0,0.0,1640704480.40333,0,1,0,0,0,0,0,1,1,368,368,368.0,0.0,0.0,1,0,0,1,1,0,0,0,1,368.0,314.0,0.0,0,0,0,0,0,0,1.0,368.0,0.0,0.0,1025,0,1,354,0.0,0.0,0.0,0.0,0,0,0,0,None
52.71.181.64:443<->192.168.18.9:443,52.71.181.64,443,192.168.18.9,59236,TCP,0,1,1,0,66,0,66,66,66.0,0.0,0,0,0.0,0.0,66.0,1,0.0,0.0,0,0,0,0.0,0.0,1640704482.78294,1640704482.78294,0,0.0,0.0,1640704482.78294,0,0,0,0,0,0,0,1,1,66,66,66.0,0.0,0.0,1,0,0,0,1,0,0,0,1,66.0,0.0,0.0,0,0,0,0,0,0,1.0,66.0,0.0,0.0,209,0,1,52,0.0,0.0,0.0,0.0,0,0,0,0,None
192.168.18.9:59236<->52.71.181.64:59236,192.168.18.9,59236,52.71.181.64,443,TCP,0,1,1,0,66,0,66,66,66.0,0.0,0,0,0.0,0.0,66.0,1,0.0,0.0,0,0,0,0.0,0.0,1640704482.7829792,1640704482.7829792,0,0.0,0.0,1640704482.7829792,0,0,0,0,0,0,0,1,1,66,66,66.0,0.0,0.0,1,0,0,0,1,0,0,0,1,66.0,0.0,0.0,0,0,0,0,0,0,1.0,66.0,0.0,0.0,501,0,1,52,0.0,0.0,0.0,0.0,0,0,0,0,None
192.168.18.9:45580<->35.224.170.84:45580,192.168.18.9,45580,35.224.170.84,80,TCP,0,1,1,0,66,0,66,66,66.0,0.0,0,0,0.0,0.0,66.0,1,0.0,0.0,0,0,0,0.0,0.0,1640705188.5670788,1640705188.5670788,0,0.0,0.0,1640705188.5670788,0,0,0,0,0,0,0,1,1,66,66,66.0,0.0,0.0,1,0,0,0,1,0,0,0,1,66.0,0.0,0.0,0,0,0,0,0,0,1.0,66.0,0.0,0.0,501,0,1,52,0.0,0.0,0.0,0.0,0,0,0,0,None
35.224.170.84:80<->192.168.18.9:80,35.224.170.84,80,192.168.18.9,45580,TCP,0,1,1,0,66,0,66,66,66.0,0.0,0,0,0.0,0.0,66.0,1,0.0,0.0,0,0,0,0.0,0.0,1640705188.5680964,1640705188.5680964,0,0.0,0.0,1640705188.5680964,0,0,0,0,0,0,0,1,1,66,66,66.0,0.0,0.0,1,0,0,0,1,0,0,0,1,66.0,0.0,0.0,0,0,0,0,0,0,1.0,66.0,0.0,0.0,508,0,1,52,0.0,0.0,0.0,0.0,0,0,0,0,None
192.168.18.9:50786<->13.127.245.85:50786,192.168.18.9,50786,13.127.245.85,443,TCP,0,1,1,0,66,0,66,66,66.0,0.0,0,0,0.0,0.0,66.0,1,0.0,0.0,0,0,0,0.0,0.0,1640705045.4927938,1640705045.4927938,0,0.0,0.0,1640705045.4927938,0,0,0,0,0,0,0,1,1,66,66,66.0,0.0,0.0,1,0,0,0,1,0,0,0,1,66.0,0.0,0.0,0,0,0,0,0,0,1.0,66.0,0.0,0.0,501,0,1,52,0.0,0.0,0.0,0.0,0,0,0,0,None
13.127.245.85:443<->192.168.18.9:443,13.127.245.85,443,192.168.18.9,50786,TCP,0,1,1,0,54,0,54,54,54.0,0.0,0,0,0.0,0.0,54.0,1,0.0,0.0,0,0,0,0.0,0.0,1640705045.5612893,1640705045.5612893,0,0.0,0.0,1640705045.5612893,0,0,0,0,0,0,0,1,1,54,54,54.0,0.0,0.0,0,0,1,0,0,0,0,0,1,54.0,0.0,0.0,0,0,0,0,0,0,1.0,54.0,0.0,0.0,0,0,1,40,0.0,0.0,0.0,0.0,0,0,0,0,None
13.127.245.85:443<->192.168.18.9:443,13.127.245.85,443,192.168.18.9,50786,TCP,0,1,1,0,66,0,66,66,66.0,0.0,0,0,0.0,0.0,66.0,1,0.0,0.0,0,0,0,0.0,0.0,1640705045.4925387,1640705045.4925387,0,0.0,0.0,1640705045.4925387,0,0,0,0,0,0,0,1,1,66,66,66.0,0.0,0.0,1,0,0,0,1,0,0,0,1,66.0,0.0,0.0,0,0,0,0,0,0,1.0,66.0,0.0,0.0,482,0,1,52,0.0,0.0,0.0,0.0,0,0,0,0,None
13.127.245.85:443<->192.168.18.9:443,13.127.245.85,443,192.168.18.9,50786,TCP,0,1,1,0,54,0,54,54,54.0,0.0,0,0,0.0,0.0,54.0,1,0.0,0.0,0,0,0,0.0,0.0,1640705045.560492,1640705045.560492,0,0.0,0.0,1640705045.560492,0,0,0,0,0,0,0,1,1,54,54,54.0,0.0,0.0,0,0,1,0,0,0,0,0,1,54.0,0.0,0.0,0,0,0,0,0,0,1.0,54.0,0.0,0.0,0,0,1,40,0.0,0.0,0.0,0.0,0,0,0,0,None
192.168.18.9:52164<->40.77.226.250:52164,192.168.18.9,52164,40.77.226.250,443,TCP,0,1,1,0,54,0,54,54,54.0,0.0,0,0,0.0,0.0,54.0,1,0.0,0.0,0,0,0,0.0,0.0,1640704480.4040208,1640704480.4040208,0,0.0,0.0,1640704480.4040208,0,0,0,0,0,0,0,1,1,54,54,54.0,0.0,0.0,1,0,0,0,1,0,0,0,1,54.0,0.0,0.0,0,0,0,0,0,0,1.0,54.0,0.0,0.0,501,0,1,40,0.0,0.0,0.0,0.0,0,0,0,0,None
40.77.226.250:443<->192.168.18.9:443,40.77.226.250,443,192.168.18.9,52164,TCP,0,1,1,0,368,0,368,368,368.0,0.0,0,0,0.0,0.0,368.0,1,0.0,0.0,0,0,0,0.0,0.0,1640704480.40333,1640704480.40333,0,0.0,0.0,1640704480.40333,0,1,0,0,0,0,0,1,1,368,368,368.0,0.0,0.0,1,0,0,1,1,0,0,0,1,368.0,314.0,0.0,0,0,0,0,0,0,1.0,368.0,0.0,0.0,1025,0,1,354,0.0,0.0,0.0,0.0,0,0,0,0,None
52.71.181.64:443<->192.168.18.9:443,52.71.181.64,443,192.168.18.9,59236,TCP,0,1,1,0,66,0,66,66,66.0,0.0,0,0,0.0,0.0,66.0,1,0.0,0.0,0,0,0,0.0,0.0,1640704482.78294,1640704482.78294,0,0.0,0.0,1640704482.78294,0,0,0,0,0,0,0,1,1,66,66,66.0,0.0,0.0,1,0,0,0,1,0,0,0,1,66.0,0.0,0.0,0,0,0,0,0,0,1.0,66.0,0.0,0.0,209,0,1,52,0.0,0.0,0.0,0.0,0,0,0,0,None
192.168.18.9:59236<->52.71.181.64:59236,192.168.18.9,59236,52.71.181.64,443,TCP,0,1,1,0,66,0,66,66,66.0,0.0,0,0,0.0,0.0,66.0,1,0.0,0.0,0,0,0,0.0,0.0,1640704482.7829792,1640704482.7829792,0,0.0,0.0,1640704482.7829792,0,0,0,0,0,0,0,1,1,66,66,66.0,0.0,0.0,1,0,0,0,1,0,0,0,1,66.0,0.0,0.0,0,0,0,0,0,0,1.0,66.0,0.0,0.0,501,0,1,52,0.0,0.0,0.0,0.0,0,0,0,0,None
192.168.18.9:45580<->35.224.170.84:45580,192.168.18.9,45580,35.224.170.84,80,TCP,0,1,1,0,66,0,66,66,66.0,0.0,0,0,0.0,0.0,66.0,1,0.0,0.0,0,0,0,0.0,0.0,1640705188.5670788,1640705188.5670788,0,0.0,0.0,1640705188.5670788,0,0,0,0,0,0,0,1,1,66,66,66.0,0.0,0.0,1,0,0,0,1,0,0,0,1,66.0,0.0,0.0,0,0,0,0,0,0,1.0,66.0,0.0,0.0,501,0,1,52,0.0,0.0,0.0,0.0,0,0,0,0,None
35.224.170.84:80<->192.168.18.9:80,35.224.170.84,80,192.168.18.9,45580,TCP,0,1,1,0,66,0,66,66,66.0,0.0,0,0,0.0,0.0,66.0,1,0.0,0.0,0,0,0,0.0,0.0,1640705188.5680964,1640705188.5680964,0,0.0,0.0,1640705188.5680964,0,0,0,0,0,0,0,1,1,66,66,66.0,0.0,0.0,1,0,0,0,1,0,0,0,1,66.0,0.0,0.0,0,0,0,0,0,0,1.0,66.0,0.0,0.0,508,0,1,52,0.0,0.0,0.0,0.0,0,0,0,0,None
13.127.245.85:443<->192.168.18.9:443,13.127.245.85,443,192.168.18.9,50786,TCP,0,1,1,0,54,0,54,54,54.0,0.0,0,0,0.0,0.0,54.0,1,0.0,0.0,0,0,0,0.0,0.0,1640705045.5612893,1640705045.5612893,0,0.0,0.0,1640705045.5612893,0,0,0,0,0,0,0,1,1,54,54,54.0,0.0,0.0,0,0,1,0,0,0,0,0,1,54.0,0.0,0.0,0,0,0,0,0,0,1.0,54.0,0.0,0.0,0,0,1,40,0.0,0.0,0.0,0.0,0,0,0,0,None
192.168.18.9:50786<->13.127.245.85:50786,192.168.18.9,50786,13.127.245.85,443,TCP,0,1,1,0,66,0,66,66,66.0,0.0,0,0,0.0,0.0,66.0,1,0.0,0.0,0,0,0,0.0,0.0,1640705045.4927938,1640705045.4927938,0,0.0,0.0,1640705045.4927938,0,0,0,0,0,0,0,1,1,66,66,66.0,0.0,0.0,1,0,0,0,1,0,0,0,1,66.0,0.0,0.0,0,0,0,0,0,0,1.0,66.0,0.0,0.0,501,0,1,52,0.0,0.0,0.0,0.0,0,0,0,0,None
13.127.245.85:443<->192.168.18.9:443,13.127.245.85,443,192.168.18.9,50786,TCP,0,1,1,0,66,0,66,66,66.0,0.0,0,0,0.0,0.0,66.0,1,0.0,0.0,0,0,0,0.0,0.0,1640705045.4925387,1640705045.4925387,0,0.0,0.0,1640705045.4925387,0,0,0,0,0,0,0,1,1,66,66,66.0,0.0,0.0,1,0,0,0,1,0,0,0,1,66.0,0.0,0.0,0,0,0,0,0,0,1.0,66.0,0.0,0.0,482,0,1,52,0.0,0.0,0.0,0.0,0,0,0,0,None
13.127.245.85:443<->192.168.18.9:443,13.127.245.85,443,192.168.18.9,50786,TCP,0,1,1,0,54,0,54,54,54.0,0.0,0,0,0.0,0.0,54.0,1,0.0,0.0,0,0,0,0.0,0.0,1640705045.560492,1640705045.560492,0,0.0,0.0,1640705045.560492,0,0,0,0,0,0,0,1,1,54,54,54.0,0.0,0.0,0,0,1,0,0,0,0,0,1,54.0,0.0,0.0,0,0,0,0,0,0,1.0,54.0,0.0,0.0,0,0,1,40,0.0,0.0,0.0,0.0,0,0,0,0,None
40.77.226.250:443<->192.168.18.9:443,40.77.226.250,443,192.168.18.9,52164,TCP,0,1,1,0,368,0,368,368,368.0,0.0,0,0,0.0,0.0,368.0,1,0.0,0.0,0,0,0,0.0,0.0,1640704480.40333,1640704480.40333,0,0.0,0.0,1640704480.40333,0,1,0,0,0,0,0,1,1,368,368,368.0,0.0,0.0,1,0,0,1,1,0,0,0,1,368.0,314.0,0.0,0,0,0,0,0,0,1.0,368.0,0.0,0.0,1025,0,1,354,0.0,0.0,0.0,0.0,0,0,0,0,None
192.168.18.9:52164<->40.77.226.250:52164,192.168.18.9,52164,40.77.226.250,443,TCP,0,1,1,0,54,0,54,54,54.0,0.0,0,0,0.0,0.0,54.0,1,0.0,0.0,0,0,0,0.0,0.0,1640704480.4040208,1640704480.4040208,0,0.0,0.0,1640704480.4040208,0,0,0,0,0,0,0,1,1,54,54,54.0,0.0,0.0,1,0,0,0,1,0,0,0,1,54.0,0.0,0.0,0,0,0,0,0,0,1.0,54.0,0.0,0.0,501,0,1,40,0.0,0.0,0.0,0.0,0,0,0,0,None
52.71.181.64:443<->192.168.18.9:443,52.71.181.64,443,192.168.18.9,59236,TCP,0,1,1,0,66,0,66,66,66.0,0.0,0,0,0.0,0.0,66.0,1,0.0,0.0,0,0,0,0.0,0.0,1640704482.78294,1640704482.78294,0,0.0,0.0,1640704482.78294,0,0,0,0,0,0,0,1,1,66,66,66.0,0.0,0.0,1,0,0,0,1,0,0,0,1,66.0,0.0,0.0,0,0,0,0,0,0,1.0,66.0,0.0,0.0,209,0,1,52,0.0,0.0,0.0,0.0,0,0,0,0,None
192.168.18.9:59236<->52.71.181.64:59236,192.168.18.9,59236,52.71.181.64,443,TCP,0,1,1,0,66,0,66,66,66.0,0.0,0,0,0.0,0.0,66.0,1,0.0,0.0,0,0,0,0.0,0.0,1640704482.7829792,1640704482.7829792,0,0.0,0.0,1640704482.7829792,0,0,0,0,0,0,0,1,1,66,66,66.0,0.0,0.0,1,0,0,0,1,0,0,0,1,66.0,0.0,0.0,0,0,0,0,0,0,1.0,66.0,0.0,0.0,501,0,1,52,0.0,0.0,0.0,0.0,0,0,0,0,None
35.224.170.84:80<->192.168.18.9:80,35.224.170.84,80,192.168.18.9,45580,TCP,0,1,1,0,66,0,66,66,66.0,0.0,0,0,0.0,0.0,66.0,1,0.0,0.0,0,0,0,0.0,0.0,1640705188.5680964,1640705188.5680964,0,0.0,0.0,1640705188.5680964,0,0,0,0,0,0,0,1,1,66,66,66.0,0.0,0.0,1,0,0,0,1,0,0,0,1,66.0,0.0,0.0,0,0,0,0,0,0,1.0,66.0,0.0,0.0,508,0,1,52,0.0,0.0,0.0,0.0,0,0,0,0,None
192.168.18.9:45580<->35.224.170.84:45580,192.168.18.9,45580,35.224.170.84,80,TCP,0,1,1,0,66,0,66,66,66.0,0.0,0,0,0.0,0.0,66.0,1,0.0,0.0,0,0,0,0.0,0.0,1640705188.5670788,1640705188.5670788,0,0.0,0.0,1640705188.5670788,0,0,0,0,0,0,0,1,1,66,66,66.0,0.0,0.0,1,0,0,0,1,0,0,0,1,66.0,0.0,0.0,0,0,0,0,0,0,1.0,66.0,0.0,0.0,501,0,1,52,0.0,0.0,0.0,0.0,0,0,0,0,None
13.127.245.85:443<->192.168.18.9:443,13.127.245.85,443,192.168.18.9,50786,TCP,0,1,1,0,66,0,66,66,66.0,0.0,0,0,0.0,0.0,66.0,1,0.0,0.0,0,0,0,0.0,0.0,1640705045.4925387,1640705045.4925387,0,0.0,0.0,1640705045.4925387,0,0,0,0,0,0,0,1,1,66,66,66.0,0.0,0.0,1,0,0,0,1,0,0,0,1,66.0,0.0,0.0,0,0,0,0,0,0,1.0,66.0,0.0,0.0,482,0,1,52,0.0,0.0,0.0,0.0,0,0,0,0,None
192.168.18.9:50786<->13.127.245.85:50786,192.168.18.9,50786,13.127.245.85,443,TCP,0,1,1,0,66,0,66,66,66.0,0.0,0,0,0.0,0.0,66.0,1,0.0,0.0,0,0,0,0.0,0.0,1640705045.4927938,1640705045.4927938,0,0.0,0.0,1640705045.4927938,0,0,0,0,0,0,0,1,1,66,66,66.0,0.0,0.0,1,0,0,0,1,0,0,0,1,66.0,0.0,0.0,0,0,0,0,0,0,1.0,66.0,0.0,0.0,501,0,1,52,0.0,0.0,0.0,0.0,0,0,0,0,None
13.127.245.85:443<->192.168.18.9:443,13.127.245.85,443,192.168.18.9,50786,TCP,0,1,1,0,54,0,54,54,54.0,0.0,0,0,0.0,0.0,54.0,1,0.0,0.0,0,0,0,0.0,0.0,1640705045.5612893,1640705045.5612893,0,0.0,0.0,1640705045.5612893,0,0,0,0,0,0,0,1,1,54,54,54.0,0.0,0.0,0,0,1,0,0,0,0,0,1,54.0,0.0,0.0,0,0,0,0,0,0,1.0,54.0,0.0,0.0,0,0,1,40,0.0,0.0,0.0,0.0,0,0,0,0,None
13.127.245.85:443<->192.168.18.9:443,13.127.245.85,443,192.168.18.9,50786,TCP,0,1,1,0,54,0,54,54,54.0,0.0,0,0,0.0,0.0,54.0,1,0.0,0.0,0,0,0,0.0,0.0,1640705045.560492,1640705045.560492,0,0.0,0.0,1640705045.560492,0,0,0,0,0,0,0,1,1,54,54,54.0,0.0,0.0,0,0,1,0,0,0,0,0,1,54.0,0.0,0.0,0,0,0,0,0,0,1.0,54.0,0.0,0.0,0,0,1,40,0.0,0.0,0.0,0.0,0,0,0,0,None
40.77.226.250:443<->192.168.18.9:443,40.77.226.250,443,192.168.18.9,52164,TCP,0,1,1,0,368,0,368,368,368.0,0.0,0,0,0.0,0.0,368.0,1,0.0,0.0,0,0,0,0.0,0.0,1640704480.40333,1640704480.40333,0,0.0,0.0,1640704480.40333,0,1,0,0,0,0,0,1,1,368,368,368.0,0.0,0.0,1,0,0,1,1,0,0,0,1,368.0,314.0,0.0,0,0,0,0,0,0,1.0,368.0,0.0,0.0,1025,0,1,354,0.0,0.0,0.0,0.0,0,0,0,0,None
192.168.18.9:52164<->40.77.226.250:52164,192.168.18.9,52164,40.77.226.250,443,TCP,0,1,1,0,54,0,54,54,54.0,0.0,0,0,0.0,0.0,54.0,1,0.0,0.0,0,0,0,0.0,0.0,1640704480.4040208,1640704480.4040208,0,0.0,0.0,1640704480.4040208,0,0,0,0,0,0,0,1,1,54,54,54.0,0.0,0.0,1,0,0,0,1,0,0,0,1,54.0,0.0,0.0,0,0,0,0,0,0,1.0,54.0,0.0,0.0,501,0,1,40,0.0,0.0,0.0,0.0,0,0,0,0,None
52.71.181.64:443<->192.168.18.9:443,52.71.181.64,443,192.168.18.9,59236,TCP,0,1,1,0,66,0,66,66,66.0,0.0,0,0,0.0,0.0,66.0,1,0.0,0.0,0,0,0,0.0,0.0,1640704482.78294,1640704482.78294,0,0.0,0.0,1640704482.78294,0,0,0,0,0,0,0,1,1,66,66,66.0,0.0,0.0,1,0,0,0,1,0,0,0,1,66.0,0.0,0.0,0,0,0,0,0,0,1.0,66.0,0.0,0.0,209,0,1,52,0.0,0.0,0.0,0.0,0,0,0,0,None
192.168.18.9:59236<->52.71.181.64:59236,192.168.18.9,59236,52.71.181.64,443,TCP,0,1,1,0,66,0,66,66,66.0,0.0,0,0,0.0,0.0,66.0,1,0.0,0.0,0,0,0,0.0,0.0,1640704482.7829792,1640704482.7829792,0,0.0,0.0,1640704482.7829792,0,0,0,0,0,0,0,1,1,66,66,66.0,0.0,0.0,1,0,0,0,1,0,0,0,1,66.0,0.0,0.0,0,0,0,0,0,0,1.0,66.0,0.0,0.0,501,0,1,52,0.0,0.0,0.0,0.0,0,0,0,0,None
35.224.170.84:80<->192.168.18.9:80,35.224.170.84,80,192.168.18.9,45580,TCP,0,1,1,0,66,0,66,66,66.0,0.0,0,0,0.0,0.0,66.0,1,0.0,0.0,0,0,0,0.0,0.0,1640705188.5680964,1640705188.5680964,0,0.0,0.0,1640705188.5680964,0,0,0,0,0,0,0,1,1,66,66,66.0,0.0,0.0,1,0,0,0,1,0,0,0,1,66.0,0.0,0.0,0,0,0,0,0,0,1.0,66.0,0.0,0.0,508,0,1,52,0.0,0.0,0.0,0.0,0,0,0,0,None
